method,time,bitstring_q4_to_q0,probability
strang_r2,0.24,01111,0.00323796174497536
strang_r2,0.24,10000,0.05950253785261249
strang_r2,0.24,10001,0.1642494866772749
strang_r2,0.24,10010,0.06003397421565745
strang_r2,0.24,10011,0.020423983548968804
strang_r2,0.24,10100,0.05662605113534067
strang_r2,0.24,10101,0.12316549902388647
strang_r2,0.24,10110,0.03995578110108882
strang_r2,0.24,10111,0.012050868165193013
strang_r2,0.24,11000,0.007339813289783413
strang_r2,0.24,11001,0.02117073236706275
strang_r2,0.24,11010,0.00901945686506454
strang_r2,0.24,11011,0.003095485400213193
strang_r2,0.24,11100,0.005121389912670121
strang_r2,0.24,11101,0.011184356294221754
strang_r2,0.24,11110,0.003235890099566409
strang_r2,0.24,11111,0.000982475581824375
exact,0.32,00000,0.0015706066040740163
exact,0.32,00001,0.02353707302865971
exact,0.32,00010,0.009116867877355819
exact,0.32,00011,0.00835920757466569
exact,0.32,00100,0.002585194134551526
exact,0.32,00101,0.014871564676041966
exact,0.32,00110,0.005239207758228813
exact,0.32,00111,0.0034491372148137724
exact,0.32,01000,0.009116867877355867
exact,0.32,01001,0.07747867424995404
exact,0.32,01010,0.029876118307897194
exact,0.32,01011,0.02863827955093231
exact,0.32,01100,0.005239207758228813
exact,0.32,01101,0.032386185323543114
exact,0.32,01110,0.00916496277257312
exact,0.32,01111,0.006176428797857905
exact,0.32,10000,0.023537073028659795
exact,0.32,10001,0.23733324383465426
exact,0.32,10010,0.07747867424995383
exact,0.32,10011,0.07248004041796394
exact,0.32,10100,0.01487156467604183
exact,0.32,10101,0.08316203738306026
exact,0.32,10110,0.03238618532354298
exact,0.32,10111,0.02067579554809303
exact,0.32,11000,0.008359207574665604
exact,0.32,11001,0.07248004041796385
exact,0.32,11010,0.028638279550932233
exact,0.32,11011,0.0273765577925598
exact,0.32,11100,0.0034491372148138
exact,0.32,11101,0.020675795548093078
exact,0.32,11110,0.0061764287978579024
exact,0.32,11111,0.004114355134409102
strang_r2,0.32,00000,0.0007821282404810071
strang_r2,0.32,00001,0.016071050836202097
strang_r2,0.32,00010,0.006290557253166023
strang_r2,0.32,00011,0.005543175532647649
strang_r2,0.32,00100,0.0015845926313363616
strang_r2,0.32,00101,0.01334622729721804
strang_r2,0.32,00110,0.004576408824267961
strang_r2,0.32,00111,0.003041312110246367
strang_r2,0.32,01000,0.0067495922173523275
strang_r2,0.32,01001,0.08690499803478843
strang_r2,0.32,01010,0.03252854553262063
strang_r2,0.32,01011,0.029413098790674257
strang_r2,0.32,01100,0.0033765563824488098
strang_r2,0.32,01101,0.030010608583834964
strang_r2,0.32,01110,0.009741719194661448
strang_r2,0.32,01111,0.006541557347415657
strang_r2,0.32,10000,0.01703555001311062
strang_r2,0.32,10001,0.24555892252641467
strang_r2,0.32,10010,0.08360860893174248
strang_r2,0.32,10011,0.07359181488366058
strang_r2,0.32,10100,0.009842554502425946
strang_r2,0.32,10101,0.08168230104309235
strang_r2,0.32,10110,0.035378481349633624
strang_r2,0.32,10111,0.022891170594976733
strang_r2,0.32,11000,0.006098185859867385
strang_r2,0.32,11001,0.07855473453860366
strang_r2,0.32,11010,0.030081511424308028
strang_r2,0.32,11011,0.027237630091651244
strang_r2,0.32,11100,0.0021596302346923012
strang_r2,0.32,11101,0.018906053939007014
strang_r2,0.32,11110,0.006528676437309162
strang_r2,0.32,11111,0.004342044820124831
