num_plaquettes,max_bond,truncation_threshold,observable,value,ideal_trotter,exact_hamiltonian
12,32,1e-14,Z5,-0.3255530163235898,,
12,32,1e-14,X6,-0.18845674751191577,,
12,32,1e-14,X8,0.5051475299309882,,
12,32,1e-14,X9,0.45954883643053374,,
12,32,1e-14,magnetic_energy,-11.926546495671872,,
12,32,1e-14,ZZ3,-0.37921935814250496,,
12,32,1e-14,electric_energy,15.108053095962516,,
12,32,1e-14,ZZ4,-0.194257664886124,,
12,64,1e-14,norm,0.9999999999995609,,
12,64,1e-14,ZZ10,-0.3011357178928544,,
12,64,1e-14,ZZ9,-0.26713576714448456,,
12,64,1e-14,ZZ8,-0.29409848812324574,,
12,64,1e-14,total_energy,3.181506600290644,,
12,64,1e-14,ZZ7,-0.37921935789737826,,
12,64,1e-14,ZZ6,-0.1942576646913417,,
12,64,1e-14,Z9,0.0743817429610086,,
12,64,1e-14,X3,0.5051475299491844,,
12,64,1e-14,Z8,-0.12050741534818743,,
12,64,1e-14,ZZ1,-0.2671357667653701,,
12,64,1e-14,Z7,0.38905934476690573,,
12,64,1e-14,Z6,-0.32555301629997646,,
12,64,1e-14,X0,0.5625454919120936,,
12,64,1e-14,Z10,0.09705322761049574,,
12,64,1e-14,Z3,-0.12050741533305992,,
12,64,1e-14,X11,0.5625454919358325,,
12,64,1e-14,Z2,0.0743817430542711,,
12,64,1e-14,X10,0.45135937076709326,,
12,64,1e-14,Z1,0.09705322764955616,,
12,64,1e-14,Z0,-0.23637994398817,,
12,64,1e-14,X1,0.45135937086166694,,
12,64,1e-14,X2,0.45954883623993786,,
12,64,1e-14,ZZ5,0.5440965310254252,,
12,64,1e-14,X4,0.26292649526739126,,
12,64,1e-14,X7,0.2629264951793699,,
12,64,1e-14,ZZ2,-0.29409848792645943,,
12,64,1e-14,Z11,-0.23637994395312278,,
12,64,1e-14,X5,-0.1884567476691623,,
12,64,1e-14,Z4,0.3890593447050281,,
12,64,1e-14,ZZ0,-0.3011357178663044,,
12,64,1e-14,Z5,-0.3255530163235898,,
12,64,1e-14,X6,-0.18845674751191577,,
12,64,1e-14,X8,0.5051475299309882,,
12,64,1e-14,X9,0.45954883643053374,,
12,64,1e-14,magnetic_energy,-11.926546495671872,,
12,64,1e-14,ZZ3,-0.37921935814250496,,
12,64,1e-14,electric_energy,15.108053095962516,,
